Date,open,high,low,close,volume
8/8/14,45.9,46.39,45.85,46.33,4992300
8/7/14,46.45,46.5,45.6,45.67,6689400
8/6/14,45.88,46.44,45.78,46.17,4940900
8/5/14,46.46,46.46,45.92,45.99,7867500
8/4/14,46.2,46.51,46.05,46.39,5327100
8/1/14,46.27,46.63,46.12,46.24,7316800
7/31/14,46.84,46.94,46.02,46.25,8564900
7/30/14,47,47.38,46.76,47.23,5408200
7/29/14,47.19,47.48,46.77,46.77,6139700
7/28/14,46.85,47.44,46.38,47.35,11324800
7/25/14,47.73,47.73,46.77,46.82,9472100
7/24/14,48.5,48.61,47.78,47.86,9868300
7/23/14,49.22,49.24,48.15,48.2,12255400
7/22/14,49,49.24,48.44,49.12,8210500
7/21/14,48.08,49.34,48.08,49.17,7681800
7/18/14,48.42,48.97,48.17,48.82,5178800
7/17/14,48.53,48.93,48.06,48.15,5321300
7/16/14,49,49.2,48.81,49.05,4894500
7/15/14,48.98,49.12,48.42,48.66,5461600
7/14/14,49.44,49.53,48.86,48.92,5171500
7/11/14,48.83,49.29,48.83,49.29,4231400
7/10/14,48.76,49.09,48.28,49,4907400
7/9/14,49.06,49.41,48.83,49.28,4378200
7/8/14,48.52,49.04,48.52,48.85,4789800
7/7/14,48.73,49.09,48.73,48.92,2912700
7/3/14,48.58,48.98,48.5,48.95,1689500
7/2/14,48.33,48.67,48.33,48.51,2825500
7/1/14,48.03,48.73,47.93,48.49,4714500
6/30/14,47.67,47.95,47.48,47.79,3109800
6/27/14,47.72,47.78,47.37,47.76,4105900
6/26/14,48.04,48.05,47.38,47.79,3533000
6/25/14,46.66,48.11,46.55,48.04,3645000
6/24/14,47.89,48.2,47.64,47.71,3732800
6/23/14,47.98,48.17,47.82,48.08,3002500
6/20/14,48.06,48.22,47.56,47.94,8463900
6/19/14,48.08,48.21,47.62,47.91,5185400
6/18/14,48.28,48.3,47.63,47.87,3973100
6/17/14,47.96,48.32,47.92,48.26,3845300
6/16/14,48.05,48.29,47.8,48.13,4473200
6/13/14,48.28,48.45,47.91,48.33,4763500
6/12/14,47.89,48.24,47.83,48.14,5782600
6/11/14,47.86,48.24,47.67,48.09,3333300
6/10/14,47.78,47.98,47.65,47.97,2697000
6/9/14,47.54,47.97,47.48,47.88,4376700
6/6/14,47.69,47.77,47.38,47.5,2965800
6/5/14,45.86,47.49,45.65,47.4,4038200
6/4/14,47.19,47.19,46.77,46.85,3497700
6/3/14,46.93,47.19,46.78,46.99,3955200
6/2/14,47,47.24,46.78,46.99,3379700
5/30/14,46.84,47,46.44,46.98,4576100
5/29/14,46.57,46.66,46.39,46.66,2975300
5/28/14,46.29,46.53,45.97,46.46,3976400
5/27/14,46.38,46.79,46.24,46.35,4594900
5/23/14,46.08,46.3,45.92,46.25,3864500
5/22/14,45.74,46.26,45.62,46.14,4279700
5/21/14,45.94,45.95,45.35,45.65,3993300
5/20/14,45.42,45.83,45.38,45.71,4440100
5/19/14,45.21,45.83,45.13,45.6,4692100
5/16/14,45.12,45.22,44.75,44.99,6593500
5/15/14,45.53,45.66,44.68,44.89,8456000
5/14/14,45.83,46.28,45.46,45.61,6239800
5/13/14,46.91,47.01,46.1,46.14,8041500
5/12/14,46.13,47.15,45.98,46.95,6529000
5/9/14,46.04,46.18,45.48,45.84,5549800
5/8/14,45.59,46.6,45.37,46.11,6113600
5/7/14,45.33,45.66,45.08,45.58,4491500
5/6/14,45.63,45.86,45.32,45.38,4431200
5/5/14,45.49,45.86,45.38,45.72,3970900
5/2/14,45.57,45.97,45.25,45.78,6002400
5/1/14,45.91,46,45.15,45.23,9211400
4/30/14,45.96,46.17,45.43,45.45,9909700
4/29/14,45.82,46.22,45.63,46.12,7783900
4/28/14,46.46,46.73,45.21,45.45,13496500
4/25/14,47.99,48.16,45.94,46.34,12403800
4/24/14,47.78,49.11,47.63,48.47,13421500
4/23/14,46.55,47,46.42,46.46,5865900
