CompanyId	ShareClassId	Symbol	ExchangeId	ISIN	CUSIP
0C000007XH	0P000002H5	GS	NYSE	US38141G1040	38141G104
0C00000BDL	0P000002RH	IBM	NYSE	US4592001014	459200101
0C0000095Q	0P0000000I	MMM	NYSE	US88579Y1010	88579Y101
0C000006YX	0P000000TU	BA	NYSE	US0970231058	097023105
0C00000ADA	0P000000GY	AAPL	NAS	US0378331005	037833100
0C00000CUZ	0P000005NU	UNH	NYSE	US91324P1021	91324P102
0C000009L1	0P000005UJ	DIS	NYSE	US2546871060	254687106
0C00000BB5	0P000002OY	HD	NYSE	US4370761029	437076102
0C00000BUB	0P000003X1	NKE	NYSE	US6541061031	654106103
0C00000BO5	0P0000032S	JNJ	NYSE	US4781601046	478160104
0C000008A4	0P000003IJ	MCD	NYSE	US5801351017	580135101
0C00000CUU	0P000005NO	UTX	NYSE	US9130171096	913017109
0C000007BJ	0P00000185	CVX	NYSE	US1667641005	166764100
0C00000778	0P0000014I	CAT	NYSE	US1491231015	149123101
0C000007JX	0P00000220	XOM	NYSE	US30231G1022	30231G102
0C000008LL	0P000004GV	PG	NYSE	US7427181091	742718109
0C000009FT	0P000000CU	AXP	NYSE	US0258161092	025816109
0C00000VF2	0P0000CPCP	V	NYSE	US92826C8394	92826C839
0C000009L0	0P000005UH	WMT	NYSE	US9311421039	931142103
0C00000BMT	0P0000031C	JPM	NYSE	US46625H1005	46625H100
0C000008C5	0P000003KE	MRK	NYSE	US58933Y1055	58933Y105
0C00000B29	0P000001TB	DD	NYSE	US2635341090	263534109
0C000008EC	0P000003MH	MSFT	NAS	US5949181045	594918104
0C000009HV	0P000005QY	VZ	NYSE	US92343V1044	92343V104
0C00000ALB	0P000001BW	KO	NYSE	US1912161007	191216100
0C00000C7U	0P000004C0	PFE	NYSE	US7170811035	717081103
0C00000BIC	0P000002X8	INTC	NAS	US4581401001	458140100
0C000007DA	0P0000019Y	CSCO	NAS	US17275R1023	17275R102
0C000007U0	0P000002DO	GE	NYSE	US3696041033	369604103
0C000009MU	0P000005WD	WFC	NYSE	US9497461015	949746101
