2017-01-15	2017-01-17
2017-01-10	2017-01-14
2017-01-05	2017-01-09
2017-01-01	2017-01-04
2016-12-30	2016-12-31
2016-12-25	2016-12-29
2016-12-20	2016-12-24
2016-12-15	2016-12-19
2016-12-10	2016-12-14
2016-12-05	2016-12-09
2016-12-01	2016-12-04
2016-11-30	2016-11-30
2016-11-25	2016-11-29
2016-11-20	2016-11-24
2016-11-15	2016-11-19
2016-11-10	2016-11-14
2016-11-05	2016-11-09
2016-11-01	2016-11-04
2016-10-30	2016-10-31
2016-10-25	2016-10-29
2016-10-20	2016-10-24
2016-10-15	2016-10-19
2016-10-10	2016-10-14
2016-10-05	2016-10-09
2016-10-01	2016-10-04
2016-09-30	2016-09-30
2016-09-25	2016-09-29
2016-09-20	2016-09-24
2016-09-15	2016-09-19
2016-09-10	2016-09-14
2016-09-05	2016-09-09
2016-09-01	2016-09-04
2016-08-30	2016-08-31
2016-08-25	2016-08-29
2016-08-20	2016-08-24
2016-08-15	2016-08-19
2016-08-10	2016-08-14
2016-08-05	2016-08-09
2016-08-01	2016-08-04
2016-07-30	2016-07-31
2016-07-25	2016-07-29
2016-07-20	2016-07-24
2016-07-15	2016-07-19
2016-07-10	2016-07-14
2016-07-05	2016-07-09
2016-07-01	2016-07-04
2016-06-30	2016-06-30
2016-06-25	2016-06-29
2016-06-20	2016-06-24
2016-06-15	2016-06-19
2016-06-10	2016-06-14
2016-06-05	2016-06-09
2016-06-01	2016-06-04
2016-05-30	2016-05-31
2016-05-25	2016-05-29
2016-05-20	2016-05-24
2016-05-15	2016-05-19
2016-05-10	2016-05-14
2016-05-05	2016-05-09
2016-05-01	2016-05-04
2016-04-30	2016-04-30
2016-04-25	2016-04-29
2016-04-20	2016-04-24
2016-04-15	2016-04-19
2016-04-10	2016-04-14
2016-04-05	2016-04-09
2016-04-01	2016-04-04
2016-03-30	2016-03-31
2016-03-25	2016-03-29
2016-03-20	2016-03-24
2016-03-15	2016-03-19
2016-03-10	2016-03-14
2016-03-05	2016-03-09
2016-03-01	2016-03-04
2016-02-25	2016-02-29
2016-02-20	2016-02-24
2016-02-15	2016-02-19
2016-02-10	2016-02-14
2016-02-05	2016-02-09
2016-02-01	2016-02-04
2016-01-30	2016-01-31
2016-01-25	2016-01-29
2016-01-20	2016-01-24
2016-01-15	2016-01-19
2016-01-10	2016-01-14
2016-01-05	2016-01-09
2016-01-01	2016-01-04
2015-12-30	2015-12-31
2015-12-25	2015-12-29
2015-12-20	2015-12-24
2015-12-15	2015-12-19
2015-12-10	2015-12-14
2015-12-05	2015-12-09
2015-12-01	2015-12-04
2015-11-30	2015-11-30
2015-11-25	2015-11-29
2015-11-20	2015-11-24
2015-11-15	2015-11-19
2015-11-10	2015-11-14
2015-11-05	2015-11-09
2015-11-01	2015-11-04
2015-10-30	2015-10-31
2015-10-25	2015-10-29
2015-10-20	2015-10-24
2015-10-15	2015-10-19
2015-10-10	2015-10-14
2015-10-05	2015-10-09
2015-10-01	2015-10-04
2015-09-30	2015-09-30
2015-09-25	2015-09-29
2015-09-20	2015-09-24
2015-09-15	2015-09-19
2015-09-10	2015-09-14
2015-09-05	2015-09-09
2015-09-01	2015-09-04
2015-08-30	2015-08-31
2015-08-25	2015-08-29
2015-08-20	2015-08-24
2015-08-15	2015-08-19
2015-08-10	2015-08-14
2015-08-05	2015-08-09
2015-08-01	2015-08-04
2015-07-30	2015-07-31
2015-07-25	2015-07-29
2015-07-20	2015-07-24
2015-07-15	2015-07-19
2015-07-10	2015-07-14
2015-07-05	2015-07-09
2015-07-01	2015-07-04
2015-06-30	2015-06-30
2015-06-25	2015-06-29
2015-06-20	2015-06-24
2015-06-15	2015-06-19
2015-06-10	2015-06-14
2015-06-05	2015-06-09
2015-06-01	2015-06-04
2015-05-30	2015-05-31
2015-05-25	2015-05-29
2015-05-20	2015-05-24
2015-05-15	2015-05-19
2015-05-10	2015-05-14
2015-05-05	2015-05-09
2015-05-01	2015-05-04
2015-04-30	2015-04-30
2015-04-25	2015-04-29
2015-04-20	2015-04-24
2015-04-15	2015-04-19
2015-04-10	2015-04-14
2015-04-05	2015-04-09
2015-04-01	2015-04-04
2015-03-30	2015-03-31
2015-03-25	2015-03-29
2015-03-20	2015-03-24
2015-03-15	2015-03-19
2015-03-10	2015-03-14
2015-03-05	2015-03-09
2015-03-01	2015-03-04
2015-02-25	2015-02-28
2015-02-20	2015-02-24
2015-02-15	2015-02-19
2015-02-10	2015-02-14
2015-02-05	2015-02-09
2015-02-01	2015-02-04
2015-01-30	2015-01-31
2015-01-25	2015-01-29
2015-01-20	2015-01-24
2015-01-15	2015-01-19
2015-01-10	2015-01-14
2015-01-05	2015-01-09
2015-01-01	2015-01-04
2014-12-30	2014-12-31
2014-12-25	2014-12-29
2014-12-20	2014-12-24
2014-12-15	2014-12-19
2014-12-10	2014-12-14
2014-12-05	2014-12-09
2014-12-01	2014-12-04
2014-11-30	2014-11-30
2014-11-25	2014-11-29
2014-11-20	2014-11-24
2014-11-15	2014-11-19
2014-11-10	2014-11-14
2014-11-05	2014-11-09
2014-11-01	2014-11-04
2014-10-30	2014-10-31
2014-10-25	2014-10-29
2014-10-20	2014-10-24
2014-10-15	2014-10-19
2014-10-10	2014-10-14
2014-10-05	2014-10-09
2014-10-01	2014-10-04
2014-09-30	2014-09-30
2014-09-25	2014-09-29
2014-09-20	2014-09-24
2014-09-15	2014-09-19
2014-09-10	2014-09-14
2014-09-05	2014-09-09
2014-09-01	2014-09-04
2014-08-30	2014-08-31
2014-08-25	2014-08-29
2014-08-20	2014-08-24
2014-08-15	2014-08-19
2014-08-10	2014-08-14
2014-08-05	2014-08-09
2014-08-01	2014-08-04
2014-07-30	2014-07-31
2014-07-25	2014-07-29
2014-07-20	2014-07-24
2014-07-15	2014-07-19
2014-07-10	2014-07-14
2014-07-05	2014-07-09
2014-07-01	2014-07-04
2014-06-30	2014-06-30
2014-06-25	2014-06-29
2014-06-20	2014-06-24
2014-06-15	2014-06-19
2014-06-10	2014-06-14
2014-06-05	2014-06-09
2014-06-01	2014-06-04
2014-05-30	2014-05-31
2014-05-25	2014-05-29
2014-05-20	2014-05-24
2014-05-15	2014-05-19
2014-05-10	2014-05-14
2014-05-05	2014-05-09
2014-05-01	2014-05-04
2014-04-30	2014-04-30
2014-04-25	2014-04-29
2014-04-20	2014-04-24
2014-04-15	2014-04-19
2014-04-10	2014-04-14
2014-04-05	2014-04-09
2014-04-01	2014-04-04
2014-03-30	2014-03-31
2014-03-25	2014-03-29
2014-03-20	2014-03-24
2014-03-15	2014-03-19
2014-03-10	2014-03-14
2014-03-05	2014-03-09
2014-03-01	2014-03-04
2014-02-25	2014-02-28
2014-02-20	2014-02-24
2014-02-15	2014-02-19
2014-02-10	2014-02-14
2014-02-05	2014-02-09
2014-02-01	2014-02-04
2014-01-30	2014-01-31
2014-01-25	2014-01-29
2014-01-20	2014-01-24
2014-01-15	2014-01-19
2014-01-10	2014-01-14
2014-01-05	2014-01-09
2014-01-01	2014-01-04
2013-12-30	2013-12-31
2013-12-25	2013-12-29
2013-12-20	2013-12-24
2013-12-15	2013-12-19
2013-12-10	2013-12-14
2013-12-05	2013-12-09
2013-12-01	2013-12-04
2013-11-30	2013-11-30
2013-11-25	2013-11-29
2013-11-20	2013-11-24
2013-11-15	2013-11-19
2013-11-10	2013-11-14
2013-11-05	2013-11-09
2013-11-01	2013-11-04
2013-10-30	2013-10-31
2013-10-25	2013-10-29
2013-10-20	2013-10-24
2013-10-15	2013-10-19
2013-10-10	2013-10-14
2013-10-05	2013-10-09
2013-10-01	2013-10-04
2013-09-30	2013-09-30
2013-09-25	2013-09-29
2013-09-20	2013-09-24
2013-09-15	2013-09-19
2013-09-10	2013-09-14
2013-09-05	2013-09-09
2013-09-01	2013-09-04
2013-08-30	2013-08-31
2013-08-25	2013-08-29
2013-08-20	2013-08-24
2013-08-15	2013-08-19
2013-08-10	2013-08-14
2013-08-05	2013-08-09
2013-08-01	2013-08-04
2013-07-30	2013-07-31
2013-07-25	2013-07-29
2013-07-20	2013-07-24
2013-07-15	2013-07-19
2013-07-10	2013-07-14
2013-07-05	2013-07-09
2013-07-01	2013-07-04
2013-06-30	2013-06-30
2013-06-25	2013-06-29
2013-06-20	2013-06-24
2013-06-15	2013-06-19
2013-06-10	2013-06-14
2013-06-05	2013-06-09
2013-06-01	2013-06-04
2013-05-30	2013-05-31
2013-05-25	2013-05-29
2013-05-20	2013-05-24
2013-05-15	2013-05-19
2013-05-10	2013-05-14
2013-05-05	2013-05-09
2013-05-01	2013-05-04
2013-04-30	2013-04-30
2013-04-25	2013-04-29
2013-04-20	2013-04-24
2013-04-15	2013-04-19
2013-04-10	2013-04-14
2013-04-05	2013-04-09
2013-04-01	2013-04-04
2013-03-30	2013-03-31
2013-03-25	2013-03-29
2013-03-20	2013-03-24
2013-03-15	2013-03-19
2013-03-10	2013-03-14
2013-03-05	2013-03-09
2013-03-01	2013-03-04
2013-02-25	2013-02-28
2013-02-20	2013-02-24
2013-02-15	2013-02-19
2013-02-10	2013-02-14
2013-02-05	2013-02-09
2013-02-01	2013-02-04
2013-01-30	2013-01-31
2013-01-25	2013-01-29
2013-01-20	2013-01-24
2013-01-15	2013-01-19
2013-01-10	2013-01-14
2013-01-05	2013-01-09
2013-01-01	2013-01-04
2012-12-30	2012-12-31
2012-12-25	2012-12-29
2012-12-20	2012-12-24
2012-12-15	2012-12-19
2012-12-10	2012-12-14
2012-12-05	2012-12-09
2012-12-01	2012-12-04
2012-11-30	2012-11-30
2012-11-25	2012-11-29
2012-11-20	2012-11-24
2012-11-15	2012-11-19
2012-11-10	2012-11-14
2012-11-05	2012-11-09
2012-11-01	2012-11-04
2012-10-30	2012-10-31
2012-10-25	2012-10-29
2012-10-20	2012-10-24
2012-10-15	2012-10-19
2012-10-10	2012-10-14
2012-10-05	2012-10-09
2012-10-01	2012-10-04
2012-09-30	2012-09-30
2012-09-25	2012-09-29
2012-09-20	2012-09-24
2012-09-15	2012-09-19
2012-09-10	2012-09-14
2012-09-05	2012-09-09
2012-09-01	2012-09-04
2012-08-30	2012-08-31
2012-08-25	2012-08-29
2012-08-20	2012-08-24
2012-08-15	2012-08-19
2012-08-10	2012-08-14
2012-08-05	2012-08-09
2012-08-01	2012-08-04
2012-07-30	2012-07-31
2012-07-25	2012-07-29
2012-07-20	2012-07-24
2012-07-15	2012-07-19
2012-07-10	2012-07-14
2012-07-05	2012-07-09
2012-07-01	2012-07-04
2012-06-30	2012-06-30
2012-06-25	2012-06-29
2012-06-20	2012-06-24
2012-06-15	2012-06-19
2012-06-10	2012-06-14
2012-06-05	2012-06-09
2012-06-01	2012-06-04
2012-05-30	2012-05-31
2012-05-25	2012-05-29
2012-05-20	2012-05-24
2012-05-15	2012-05-19
2012-05-10	2012-05-14
2012-05-05	2012-05-09
2012-05-01	2012-05-04
2012-04-30	2012-04-30
2012-04-25	2012-04-29
2012-04-20	2012-04-24
2012-04-15	2012-04-19
2012-04-10	2012-04-14
2012-04-05	2012-04-09
2012-04-01	2012-04-04
2012-03-30	2012-03-31
2012-03-25	2012-03-29
2012-03-20	2012-03-24
2012-03-15	2012-03-19
2012-03-10	2012-03-14
2012-03-05	2012-03-09
2012-03-01	2012-03-04
2012-02-25	2012-02-29
2012-02-20	2012-02-24
2012-02-15	2012-02-19
2012-02-10	2012-02-14
2012-02-05	2012-02-09
2012-02-01	2012-02-04
2012-01-30	2012-01-31
2012-01-25	2012-01-29
2012-01-20	2012-01-24
2012-01-15	2012-01-19
2012-01-10	2012-01-14
2012-01-05	2012-01-09
2012-01-01	2012-01-04
